Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed,Mean MPP
2023-07-15 15:00,0.598,45.09152764771735,245.4814995349076,19.465,16.296,0.5236894903842805
2023-07-15 10:00,0.738,38.31424561720469,129.11164380825272,19.908,14.954,1.1810678768148597
2023-07-12 09:00,0.748,45.985933856498086,111.83744247057837,19.468,9.585,0.8028353326010764
2023-07-09 08:00,0.306,54.68017582959898,97.88183407035416,18.551,5.466,0.5813285360402368
2023-07-17 11:00,0.792,32.59935714883032,151.14401942552558,20.004,10.02,1.510213539739418
2023-07-24 10:00,0.602,39.80213896562597,130.2827990471602,18.799,6.725,1.10335127515253
2023-07-31 08:00,0.174,57.93554499217919,100.84626258779826,18.655,11.219,0.3421469399271115
2023-07-20 08:00,0.596,56.12173202994202,98.99755446293084,19.09,2.517,0.3360167964454821
2023-07-19 06:00,0.274,74.5527143344539,75.66108772229751,16.261,6.365,0.2458472537237377
2023-07-28 10:00,0.661,40.56391753946632,130.97169000113445,21.157,6.67,1.1283869875154058
2023-07-21 09:00,0.642,47.27440099170788,112.90802087650712,18.339,6.283,0.7952718569325209
2023-07-22 06:00,0.095,75.00799976253765,76.01089799359335,14.449,6.438,0.1692527638732828
2023-07-04 17:00,0.136,62.6091948780917,273.0850508890485,16.944,5.479,0.2632937412739891
2023-07-07 05:00,0.172,81.74415972085988,63.768215274718045,15.189,5.695,0.1269445999289358
2023-07-26 17:00,0.101,64.85112418689613,270.0779320312992,17.453,7.858,0.1724585041595654
2023-07-02 16:00,0.4679999999999999,53.19184231931371,261.27942085473046,19.717,10.499,0.2951504562786562
2023-07-20 17:00,0.174,63.95753255008622,271.0209338425268,20.468,4.367,0.2951693512971362
2023-07-26 08:00,0.603,57.070170940422535,99.9201206840815,18.051,4.879,0.3260989176412993
2023-07-13 16:00,0.332,53.83962372043506,259.8977237439691,19.783,9.345,0.478843363918977
2023-07-22 14:00,0.247,38.27803072554789,226.68751277406108,17.803,12.201,0.5034085951356321
2023-07-02 15:00,0.623,44.170492286928976,247.3262915872833,20.173,10.341,0.5515702297543139
2023-07-30 16:00,0.107,56.25815651908743,257.0878395193441,18.674,11.899,0.2133222035519382
2023-07-20 18:00,0.077,73.25237363635821,282.31326077920266,19.443,4.62,0.1160408859662398
2023-07-22 10:00,0.6419999999999999,39.44366237291814,129.97573701550397,19.13,11.348,1.145493518879172
2023-07-28 11:00,0.72,34.727114306805454,152.2554295968672,21.847,6.988,1.4169788498996887
2023-07-05 05:00,0.1709999999999999,81.54147812322692,63.708893809802646,12.134,8.922,0.1712827942877894
2023-07-21 07:00,0.44,65.61304304983135,87.12141735340663,16.079,6.357,0.2697221594955
2023-07-18 13:00,0.613,32.09617044979964,204.7337655518866,21.104,4.668,1.1483037496566333
2023-07-17 13:00,0.757,31.93535716708868,204.8600121342898,20.632,9.915,1.2388165711105243
2023-07-20 14:00,0.65,37.95082553106665,227.025564521778,21.733,3.783,0.9158793729128508
2023-07-06 10:00,0.771,37.1764775982358,128.5103676471678,19.184,6.864,1.240871671650721
2023-07-14 17:00,0.068,63.27576189384408,271.8867657465027,19.28,11.121,0.1140361842022848
2023-07-23 09:00,0.717,47.59916127694138,113.2182444898657,20.699,11.299,0.7653464873831116
2023-07-07 08:00,0.634,54.46537799988563,97.7616326639465,20.048,4.991,0.3082529950089353
2023-07-29 09:00,0.704,48.648467803214906,114.29601340211366,20.541,9.598,0.7216073265468372
2023-07-18 08:00,0.429,55.82921161322908,98.73825689354874,17.335,4.737,0.6236463498460756
2023-07-09 05:00,0.123,81.96336516729858,63.847697479187445,16.317,5.061,0.1989509196770081
2023-07-29 17:00,0.228,65.37660568412353,269.585323217532,20.342,10.279,0.2444512506529144
2023-07-22 18:00,0.056,73.53172946871153,282.03064026611213,16.235,12.062,0.1074657555041396
2023-07-13 17:00,0.243,63.18285974588876,272.0216697566221,19.366,8.953,0.3241384269222077
2023-07-08 18:00,0.046,72.06755151976289,283.8107128244852,20.727,4.247,0.0576968431333806
2023-07-23 15:00,0.405,46.176746052881214,244.1076371117996,21.576,10.964,0.6362519340036492
2023-07-23 08:00,0.588,56.58313251219113,99.43216021773044,19.689,11.282,0.3287300136475727
2023-07-12 08:00,0.633,55.03118593271928,98.11021350609576,18.606,8.97,0.3001671619350354
2023-07-21 10:00,0.765,39.270206035825545,129.8319594253034,19.297,6.211,1.2298345038699126
2023-07-29 07:00,0.4349999999999999,66.9070495014817,88.348027531041,18.565,8.682,0.2245089043567401
2023-07-15 13:00,0.777,31.63308852409476,205.11704591070284,20.125,16.076,1.2453910928998837
2023-07-30 14:00,0.288,39.83485861387251,225.3517444807672,19.837,12.518,0.5767648490247254
